K14n1117,"{(1, 1, (0,), (0,)): 1, (3, 6, (0,), (0, 3, 27)): 1, (2, 2, (0, 81), (0, 81)): 1, (3, 3, (0, 13, 13), (0, 13, 13)): 1, (4, 4, (0, 81), (0, 81)): 1}"
K15n958,"{(1, 1, (0,), (0,)): 1, (4, 24, (0, 4), (0, 0, 0, 2, 2, 2, 2, 2, 2, 4, 4, 11, 13, 29, 29, 29)): 1, (2, 2, (0, 3, 11, 13), (0, 3, 11, 13)): 1, (4, 24, (0, 4, 9, 151), (0, 0, 0, 2, 2, 2, 2, 2, 2, 4, 4, 9, 9, 9, 11, 13, 151, 151, 151)): 1, (3, 3, (0, 5, 5, 23, 23), (0, 5, 5, 23, 23)): 1, (4, 4, (0, 3, 11, 11, 11, 13), (0, 3, 11, 11, 11, 13)): 1, (4, 24, (0, 2, 4, 509), (0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 8, 8, 11, 13, 509, 509, 509)): 1, (3, 6, (0, 0, 2), (0, 0, 0, 2, 2, 11, 13)): 1}"
K14n3352,"{(1, 1, (0,), (0,)): 1, (2, 2, (0, 227), (0, 227)): 1, (4, 4, (0, 19, 19, 227), (0, 19, 19, 227)): 1, (4, 12, (0, 59), (0, 2, 2, 7, 7, 59, 59, 59)): 1, (3, 3, (0, 2, 2, 7, 7), (0, 2, 2, 7, 7)): 1}"
K14n4194,"{(1, 1, (0,), (0,)): 1, (2, 2, (0, 227), (0, 227)): 1, (4, 12, (0, 59), (0, 2, 2, 7, 7, 59, 59, 59)): 1, (4, 4, (0, 19, 19, 227), (0, 19, 19, 227)): 1, (3, 3, (0, 2, 2, 7, 7), (0, 2, 2, 7, 7)): 1}"
K15a56269,"{(1, 1, (0,), (0,)): 1, (3, 6, (0, 2, 2), (0, 2, 2, 2, 2, 3, 199)): 1, (4, 24, (0, 2), (0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 41, 41, 41, 199)): 1, (4, 12, (0, 41), (0, 2, 2, 23, 23, 41, 41, 41)): 1, (4, 24, (0, 0, 2), (0, 0, 0, 0, 3, 4, 4, 4, 5, 5, 5, 199)): 1, (4, 24, (0, 2), (0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 11, 11, 11, 17, 17, 17, 199)): 1, (2, 2, (0, 3, 199), (0, 3, 199)): 1, (3, 3, (0, 2, 2, 23, 23), (0, 2, 2, 23, 23)): 1, (4, 4, (0, 3, 3, 3, 199), (0, 3, 3, 3, 199)): 1}"
K15a55797,"{(1, 1, (0,), (0,)): 1, (4, 24, (0, 2), (0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 11, 11, 11, 17, 17, 17, 199)): 1, (3, 6, (0, 2, 2), (0, 2, 2, 2, 2, 3, 199)): 1, (4, 12, (0, 41), (0, 2, 2, 23, 23, 41, 41, 41)): 1, (4, 24, (0, 2), (0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 41, 41, 41, 199)): 1, (4, 24, (0, 0, 2), (0, 0, 0, 0, 3, 4, 4, 4, 5, 5, 5, 199)): 1, (2, 2, (0, 3, 199), (0, 3, 199)): 1, (3, 3, (0, 2, 2, 23, 23), (0, 2, 2, 23, 23)): 1, (4, 4, (0, 3, 3, 3, 199), (0, 3, 3, 3, 199)): 1}"
K15n28087,"{(1, 1, (0,), (0,)): 1, (4, 12, (0, 2, 5, 8), (0, 2, 5, 5, 5, 8, 32, 32, 61, 61)): 1, (2, 2, (0, 7, 61), (0, 7, 61)): 1, (3, 3, (0, 2, 2, 61, 61), (0, 2, 2, 61, 61)): 1, (4, 4, (0, 7, 17, 17, 61), (0, 7, 17, 17, 61)): 1}"
K15n4279,"{(1, 1, (0,), (0,)): 1, (2, 2, (0, 7, 61), (0, 7, 61)): 1, (3, 3, (0, 2, 2, 61, 61), (0, 2, 2, 61, 61)): 1, (4, 4, (0, 7, 17, 17, 61), (0, 7, 17, 17, 61)): 1, (4, 12, (0, 2, 5, 8), (0, 2, 5, 5, 5, 8, 32, 32, 61, 61)): 1}"
K15n35040,"{(1, 1, (0,), (0,)): 1, (2, 2, (0, 197), (0, 197)): 1, (3, 3, (0, 49, 49), (0, 49, 49)): 1, (4, 4, (0, 3, 3, 197), (0, 3, 3, 197)): 1}"
K15n34918,"{(1, 1, (0,), (0,)): 1, (2, 2, (0, 197), (0, 197)): 1, (3, 3, (0, 49, 49), (0, 49, 49)): 1, (4, 4, (0, 3, 3, 197), (0, 3, 3, 197)): 1}"
