rep,covers,group
K15a5275,"[1, 1, 2, 3, 4, 11]","['K15a5275', 'K15a5487']"
K15a58264,"[1, 1, 1, 5, 8, 6]","['K15a58264', 'K15a59073']"
K15n10172,"[1, 1, 2, 3, 9, 7]","['K15n10172', 'K15n8215']"
K15n37523,"[1, 1, 22, 26, 151, 148]","['K15n37523', 'K15n38484']"
K15a57581,"[1, 2, 5, 5, 15, 13]","['K15a57581', 'K15a59334']"
K15n102287,"[1, 1, 2, 2, 14, 7]","['K15n102287', 'K15n102400']"
K15n10473,"[1, 2, 5, 3, 17, 19]","['K15n10473', 'K15n10775']"
K15a21085,"[1, 1, 1, 3, 5, 18]","['K15a21085', 'K15a21106']"
K15n5970,"[1, 1, 1, 3, 9, 4]","['K15n5970', 'K15n6046']"
K15a59776,"[1, 1, 1, 3, 1, 9]","['K15a59776', 'K15a59787']"
K15a62903,"[1, 1, 1, 4, 8, 8]","['K15a62903', 'K15a62913']"
K15n29649,"[1, 1, 1, 4, 8, 7]","['K15n29649', 'K15n9315']"
K15a55227,"[1, 1, 1, 2, 3, 10]","['K15a55227', 'K15a55433']"
K14n20388,"[1, 1, 2, 2, 5, 9]","['K14n20388', 'K14n20540']"
K15n10701,"[1, 2, 9, 3, 27, 17]","['K15n10701', 'K15n10799']"
K14a1837,"[1, 1, 2, 5, 12, 10]","['K14a1837', 'K14a1913']"
K15n1876,"[1, 1, 1, 1, 1, 5]","['K15n1876', 'K15n2855']"
K15n24228,"[1, 1, 1, 3, 9, 4]","['K15n24228', 'K15n26616']"
K15n2493,"[1, 2, 4, 1, 9, 3]","['K15n2493', 'K15n3589']"
K15n5649,"[1, 1, 1, 2, 6, 7]","['K15n5649', 'K15n6124']"
K15a3805,"[1, 1, 1, 2, 6, 2]","['K15a3805', 'K15a4260']"
K15n120012,"[1, 1, 1, 5, 10, 2]","['K15n120012', 'K15n120338']"
K15n22442,"[1, 1, 1, 4, 5, 9]","['K15n22442', 'K15n23006']"
K15a30117,"[1, 1, 2, 4, 14, 3]","['K15a30117', 'K15a30222']"
K14n5534,"[1, 1, 2, 4, 6, 5]","['K14n5534', 'K14n5540']"
K14n156,"[1, 2, 4, 2, 14, 6]","['K14n156', 'K14n335']"
K15n17507,"[1, 1, 2, 4, 6, 10]","['K15n17507', 'K15n17709']"
K15n28002,"[1, 1, 1, 6, 9, 3]","['K15n28002', 'K15n28118']"
K14n2944,"[1, 1, 1, 5, 11, 11]","['K14n2944', 'K14n2998']"
K15n31209,"[1, 1, 1, 5, 6, 11]","['K15n31209', 'K15n32651']"
K15n29429,"[1, 1, 1, 1, 7, 12]","['K15n29429', 'K15n29467']"
K15a29735,"[1, 1, 1, 9, 22, 12]","['K15a29735', 'K15a29865']"
K15n2017,"[1, 1, 1, 1, 7, 8]","['K15n2017', 'K15n2432']"
K15a939,"[1, 1, 2, 5, 15, 7]","['K15a939', 'K15a946']"
K15n104708,"[1, 1, 2, 2, 6, 9]","['K15n104708', 'K15n105819']"
K15a55335,"[1, 1, 1, 3, 3, 9]","['K15a55335', 'K15a55371']"
K15a29967,"[1, 1, 2, 3, 4, 5]","['K15a29967', 'K15a49333']"
K15n31116,"[1, 1, 2, 3, 8, 6]","['K15n31116', 'K15n32591']"
K15n53259,"[1, 1, 1, 2, 6, 9]","['K15n53259', 'K15n53524']"
K15a59694,"[1, 1, 1, 5, 7, 7]","['K15a59694', 'K15a59704']"
K15n10821,"[1, 1, 1, 2, 2, 7]","['K15n10821', 'K15n8221']"
K14a1537,"[1, 2, 4, 2, 14, 11]","['K14a1537', 'K14a2238']"
K15n23837,"[1, 1, 1, 5, 3, 7]","['K15n23837', 'K15n24275']"
K15n10255,"[1, 1, 1, 5, 5, 5]","['K15n10255', 'K15n17383']"
K15a58351,"[1, 1, 1, 2, 2, 5]","['K15a58351', 'K15a59126']"
K15n4500,"[1, 2, 2, 10, 33, 53]","['K15n4500', 'K15n4522']"
K15n1272,"[1, 1, 2, 2, 8, 5]","['K15n1272', 'K15n1312']"
K15n118897,"[1, 2, 5, 1, 15, 9]","['K15n118897', 'K15n119004']"
