K15n10006,"[1, 1, 1, 2, 8, 6]",['K15n10006']
K15n10174,"[1, 1, 1, 2, 8, 3]",['K15n10174']
K15n8217,"[1, 1, 1, 2, 8, 7]",['K15n8217']
K15n8548,"[1, 1, 1, 6, 4, 7]",['K15n8548']
K15n8648,"[1, 1, 1, 6, 4, 4]",['K15n8648']
K15n8662,"[1, 1, 1, 6, 4, 5]",['K15n8662']
K15n8686,"[1, 1, 1, 6, 4, 3]",['K15n8686']
K14n4657,"[1, 1, 1, 3, 3, 7]",['K14n4657']
K14n4665,"[1, 1, 1, 3, 3, 11]",['K14n4665']
K15n118005,"[1, 2, 5, 6, 20, 16]","['K15n118005', 'K15n118552']"
K15a7130,"[1, 2, 5, 2, 12, 5]",['K15a7130']
K15a7600,"[1, 2, 5, 2, 12, 8]",['K15a7600']
K15a7229,"[1, 2, 5, 4, 14, 16]","['K15a7229', 'K15a7739']"
K15n10082,"[1, 1, 1, 2, 4, 12]","['K15n10082', 'K15n8105']"
K15n9982,"[1, 1, 1, 2, 4, 13]",['K15n9982']
K15n31264,"[1, 2, 5, 5, 19, 11]",['K15n31264']
K15n31577,"[1, 2, 5, 5, 19, 13]",['K15n31577']
K15n27392,"[1, 1, 1, 3, 19, 17]","['K15n27392', 'K15n8836']"
K15a56713,"[1, 2, 5, 2, 16, 11]",['K15a56713']
K15a56781,"[1, 2, 5, 2, 16, 13]",['K15a56781']
K15a56059,"[1, 1, 1, 3, 7, 11]",['K15a56059']
K15a56427,"[1, 1, 1, 3, 7, 10]",['K15a56427']
K15a31064,"[1, 2, 9, 3, 33, 27]",['K15a31064']
K15a54153,"[1, 2, 9, 3, 33, 28]",['K15a54153']
K15a2131,"[1, 1, 2, 6, 14, 6]",['K15a2131']
K15a2464,"[1, 1, 2, 6, 14, 11]",['K15a2464']
K14n6499,"[1, 2, 5, 2, 12, 6]","['K14n6499', 'K14n6505']"
K15a12318,"[1, 1, 2, 2, 10, 9]","['K15a12318', 'K15a48525']"
K15n7958,"[1, 1, 1, 6, 11, 9]",['K15n7958']
K15n9174,"[1, 1, 1, 6, 11, 10]",['K15n9174']
