name,crossings,alexander_polynomial,matched_name
19nh_009270399,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009272011,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009272012,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009272288,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009273173,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009273669,19,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
19nh_009274056,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009274728,19,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
19nh_009274841,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009275759,19,"{0: 2, 1: -5, 2: 2}",6_1
19nh_009276159,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009277086,19,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
19nh_009277509,19,"{0: 2, 1: -5, 2: 2}",6_1
