name,crossings,alexander_polynomial,matched_name
17nh_0003540,17,"{0: 1, 1: -4, 2: 8, 3: -9, 4: 8, 5: -4, 6: 1}",8_16
17nh_0003558,17,"{0: 2, 1: -3, 2: 3, 3: -3, 4: 2}",7_3
17nh_0003576,17,"{0: 1, 1: -3, 2: 5, 3: -7, 4: 5, 5: -3, 6: 1}",8_9
17nh_0003600,17,"{0: 2, 1: -8, 2: 11, 3: -8, 4: 2}",8_14
17nh_0003633,17,"{0: 4, 1: -9, 2: 4}",8_3
17nh_0003632,17,"{0: 4, 1: -9, 2: 4}",8_3
17nh_0003635,17,"{0: 3, 1: -8, 2: 11, 3: -8, 4: 3}",8_15
17nh_0003647,17,"{0: 2, 1: -3, 2: 3, 3: -3, 4: 2}",7_3
17nh_0003675,17,"{0: 2, 1: -6, 2: 9, 3: -6, 4: 2}",8_8
17nh_0003685,17,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
17nh_0003713,17,"{0: 1, 1: -3, 2: 5, 3: -7, 4: 5, 5: -3, 6: 1}",8_9
17nh_0003758,17,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1, 5: -1, 6: 1}",7_1
17nh_0003759,17,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1, 5: -1, 6: 1}",7_1
17nh_0003781,17,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
17nh_0003845,17,"{0: 2, 1: -7, 2: 11, 3: -7, 4: 2}",8_13
17nh_0003852,17,"{0: 2, 1: -4, 2: 5, 3: -4, 4: 2}",7_5
17nh_0003853,17,"{0: 2, 1: -4, 2: 5, 3: -4, 4: 2}",7_5
17nh_0003857,17,"{0: 1, 1: -3, 2: 6, 3: -7, 4: 6, 5: -3, 6: 1}",8_10
17nh_0003911,17,"{0: 2, 1: -8, 2: 11, 3: -8, 4: 2}",8_14
17nh_0003924,17,"{0: 4, 1: -9, 2: 4}",8_3
17nh_0003952,17,"{0: 3, 1: -7, 2: 3}",8_1
17nh_0003962,17,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
17nh_0003963,17,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
17nh_0003993,17,"{0: 1, 1: -4, 2: 5, 3: -4, 4: 1}",8_21
17nh_0004074,17,"{0: 2, 1: -5, 2: 2}",6_1
17nh_0004087,17,"{0: 3, 1: -5, 2: 3}",7_2
17nh_0004088,17,"{0: 3, 1: -5, 2: 3}",7_2
17nh_0004134,17,"{0: 1, 1: -3, 2: 5, 3: -3, 4: 1}",6_3
17nh_0004259,17,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
17nh_0004315,17,"{0: 1, 1: -1, 3: 1, 5: -1, 6: 1}",8_19
17nh_0004341,17,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 3, 5: -3, 6: 1}",8_2
17nh_0004354,17,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
17nh_0004358,17,"{0: 2, 1: -6, 2: 7, 3: -6, 4: 2}",8_6
17nh_0004368,17,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
17nh_0004369,17,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
17nh_0004373,17,"{0: 1, 1: -1, 3: 1, 5: -1, 6: 1}",8_19
17nh_0004395,17,"{0: 4, 1: -9, 2: 4}",8_3
17nh_0004449,17,"{0: 2, 1: -6, 2: 9, 3: -6, 4: 2}",8_8
17nh_0004485,17,"{0: 3, 1: -8, 2: 11, 3: -8, 4: 3}",8_15
17nh_0004499,17,"{0: 2, 1: -6, 2: 9, 3: -6, 4: 2}",8_8
17nh_0004512,17,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1, 5: -1, 6: 1}",7_1
17nh_0004513,17,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1, 5: -1, 6: 1}",7_1
17nh_0004517,17,"{0: 1, 1: -5, 2: 7, 3: -5, 4: 1}",7_6
17nh_0004553,17,"{0: 3, 1: -5, 2: 3}",7_2
17nh_0004559,17,"{0: 1, 1: -3, 2: 6, 3: -7, 4: 6, 5: -3, 6: 1}",8_10
17nh_0004560,17,"{0: 1, 1: -3, 2: 6, 3: -7, 4: 6, 5: -3, 6: 1}",8_10
17nh_0004564,17,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
17nh_0004594,17,"{0: 2, 1: -6, 2: 9, 3: -6, 4: 2}",8_8
17nh_0004605,17,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 3, 5: -3, 6: 1}",8_2
17nh_0004603,17,"{0: 2, 1: -8, 2: 11, 3: -8, 4: 2}",8_14
17nh_0004628,17,"{0: 2, 1: -4, 2: 5, 3: -4, 4: 2}",7_5
17nh_0004671,17,"{0: 1, 1: -5, 2: 7, 3: -5, 4: 1}",7_6
17nh_0004676,17,"{0: 1, 1: -5, 2: 9, 3: -5, 4: 1}",7_7
17nh_0004680,17,"{0: 2, 1: -5, 2: 5, 3: -5, 4: 2}",8_4
17nh_0004711,17,"{0: 1, 1: -3, 2: 6, 3: -7, 4: 6, 5: -3, 6: 1}",8_10
17nh_0004729,17,"{0: 3, 1: -5, 2: 3}",7_2
17nh_0004762,17,"{0: 2, 1: -7, 2: 9, 3: -7, 4: 2}",8_11
17nh_0004782,17,"{0: 2, 1: -7, 2: 9, 3: -7, 4: 2}",8_11
17nh_0004781,17,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1, 5: -1, 6: 1}",7_1
17nh_0004791,17,"{0: 2, 1: -3, 2: 3, 3: -3, 4: 2}",7_3
17nh_0004801,17,"{0: 2, 1: -6, 2: 7, 3: -6, 4: 2}",8_6
17nh_0004819,17,"{0: 1, 1: -7, 2: 13, 3: -7, 4: 1}",8_12
17nh_0004839,17,"{0: 1, 1: -3, 2: 6, 3: -7, 4: 6, 5: -3, 6: 1}",8_10
17nh_0004856,17,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
17nh_0004883,17,"{0: 2, 1: -3, 2: 3, 3: -3, 4: 2}",7_3
17nh_0004910,17,"{0: 2, 1: -6, 2: 9, 3: -6, 4: 2}",8_8
17nh_0004942,17,"{0: 2, 1: -7, 2: 9, 3: -7, 4: 2}",8_11
17nh_0004964,17,"{0: 2, 1: -6, 2: 9, 3: -6, 4: 2}",8_8
17nh_0004970,17,"{0: 2, 1: -4, 2: 5, 3: -4, 4: 2}",7_5
17nh_0004978,17,"{0: 1, 1: -3, 2: 5, 3: -5, 4: 5, 5: -3, 6: 1}",8_7
17nh_0005054,17,"{0: 1, 1: -5, 2: 9, 3: -5, 4: 1}",7_7
17nh_0005059,17,"{0: 2, 1: -5, 2: 2}",6_1
17nh_0005089,17,"{0: 1, 1: -4, 2: 5, 3: -4, 4: 1}",8_21
17nh_0005095,17,"{0: 1, 1: -4, 2: 8, 3: -9, 4: 8, 5: -4, 6: 1}",8_16
17nh_0005165,17,"{0: 1, 1: -3, 2: 5, 3: -7, 4: 5, 5: -3, 6: 1}",8_9
17nh_0005177,17,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 3, 5: -3, 6: 1}",8_2
17nh_0005235,17,"{0: 2, 1: -7, 2: 9, 3: -7, 4: 2}",8_11
17nh_0005234,17,"{0: 2, 1: -7, 2: 9, 3: -7, 4: 2}",8_11
17nh_0005281,17,"{0: 4, 1: -7, 2: 4}",7_4
17nh_0005357,17,"{0: 1, 1: -5, 2: 9, 3: -5, 4: 1}",7_7
17nh_0005472,17,"{0: 1, 1: -5, 2: 7, 3: -5, 4: 1}",7_6
17nh_0005494,17,"{0: 1, 1: -3, 2: 6, 3: -7, 4: 6, 5: -3, 6: 1}",8_10
17nh_0005493,17,"{0: 1, 1: -3, 2: 6, 3: -7, 4: 6, 5: -3, 6: 1}",8_10
17nh_0005498,17,"{0: 2, 1: -5, 2: 2}",6_1
17nh_0005511,17,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
17nh_0005541,17,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
17nh_0005587,17,"{0: 3, 1: -7, 2: 3}",8_1
17nh_0005612,17,"{0: 4, 1: -7, 2: 4}",7_4
17nh_0005629,17,"{0: 1, 1: -4, 2: 5, 3: -4, 4: 1}",8_21
17nh_0005640,17,"{0: 3, 1: -5, 2: 3}",7_2
17nh_0005661,17,"{0: 1, 1: -1, 3: 1, 5: -1, 6: 1}",8_19
17nh_0005687,17,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
17nh_0005719,17,"{0: 2, 1: -6, 2: 9, 3: -6, 4: 2}",8_8
17nh_0005735,17,"{0: 2, 1: -5, 2: 2}",6_1
17nh_0005734,17,"{0: 2, 1: -5, 2: 2}",6_1
17nh_0005756,17,"{0: 1, 1: -3, 2: 4, 3: -5, 4: 4, 5: -3, 6: 1}",8_5
17nh_0005760,17,"{0: 3, 1: -5, 2: 3}",7_2
17nh_0005796,17,"{0: 1, 1: -3, 2: 3, 3: -3, 4: 1}",6_2
17nh_0005836,17,"{0: 4, 1: -7, 2: 4}",7_4
17nh_0005867,17,"{0: 1, 1: -5, 2: 7, 3: -5, 4: 1}",7_6
17nh_0005869,17,"{0: 1, 1: -1, 2: 1, 3: -1, 4: 1}",5_1
17nh_0005917,17,"{0: 1, 1: -3, 2: 4, 3: -5, 4: 4, 5: -3, 6: 1}",8_5
17nh_0005925,17,"{0: 1, 1: -2, 2: 3, 3: -2, 4: 1}",8_20
