knot,symmetry_group,verified,amphichiral
K14a17447,Z/2 + Z/2,True,False
K14n7412,0,True,False
K14n7415,0,True,False
K14n7417,0,True,False
K14n7428,0,True,False
K13n3385,Z/2,True,False
K13n3395,Z/2,True,False
K13n3396,0,True,False
K13n3405,0,True,False
K14n16669,0,True,False
K14n16670,0,True,False
K14n16675,Z/2,True,False
K14n7429,0,True,False
K12a3,Z/2,True,False
K14n7430,0,True,False
K14n7431,0,True,False
K14n7435,0,True,False
K14n7439,0,True,False
K13n3407,0,True,False
K13n3408,0,True,False
K15n137336,0,True,False
K15n137344,0,True,False
K15n127617,0,True,False
K14a17452,Z/2 + Z/2,True,False
K13n3412,0,True,False
K13n3414,0,True,False
K13n3416,Z/2,True,False
K14n7440,Z/2,True,False
K15n20494,0,True,False
K14n16681,Z/2,True,False
K15n20497,0,True,False
K14n16685,0,True,False
K14n16695,0,True,False
K15n127618,0,True,False
K15n30641,0,True,False
K15n40711,Z/2,True,False
K14a17453,Z/2 + Z/2,True,False
K14n26183,Z/2,True,False
K14n26187,Z/2,True,False
K12a8,0,True,False
K14n26188,Z/2,True,False
K15n40713,0,True,False
K13n3417,0,True,False
K15n156692,0,True,False
K14n26194,0,True,False
K14n26203,0,True,False
K14n26211,0,True,False
K14n26212,0,True,False
K14n26218,0,True,False
K15n40728,0,True,False
K14n7444,0,True,False
K14n7446,0,True,False
K14n7447,0,True,False
K12a13,0,True,False
K14n7449,0,True,False
K14n7450,0,True,False
K14n7451,0,True,False
K14n7452,Z/2,True,False
K14n26220,0,True,False
K14n7453,0,True,False
K14n7462,0,True,False
K14n7464,0,True,False
K14n16696,0,True,False
K13n3419,0,True,False
K15n50143,0,True,False
K15n50144,0,True,False
K14n7467,0,True,False
K14n7469,0,True,False
K13n3423,0,True,False
K13n3424,0,True,False
K13n3427,Z/2,True,False
K13n3428,0,True,False
K13n3429,0,True,False
K13n3436,0,True,False
K14n16698,0,True,False
K14n7470,0,True,False
K15n127620,Z/2,True,False
K15n127627,0,True,False
K15n127629,0,True,False
K15n127631,0,True,False
K14a17455,Z/2,True,False
K14n16701,0,True,False
K15n127632,0,True,False
